,Gastos del Edificio — Edificio Uruguay,,,,,,,,,,,,,
,Categoría,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total Anual
,Expensas comunes,,,,,,,,,,,,,=SUM(C5:N5)
,Impuesto Inmobiliario,,,,,,,,,,,,,=SUM(C6:N6)
,Tributo DGI,,,,,,,,,,,,,=SUM(C7:N7)
,Contribución Inmobiliaria,,,,,,,,,,,,,=SUM(C8:N8)
,Agua (OSE),,,,,,,,,,,,,=SUM(C9:N9)
,Electricidad (UTE) - Areas comunes,,,,,,,,,,,,,=SUM(C10:N10)
,Seguro del edificio,,,,,,,,,,,,,=SUM(C11:N11)
,Mantenimiento ascensor,,,,,,,,,,,,,=SUM(C12:N12)
,Limpieza,,,,,,,,,,,,,=SUM(C13:N13)
,Seguridad / Vigilancia,,,,,,,,,,,,,=SUM(C14:N14)
,Reparaciones,,,,,,,,,,,,,=SUM(C15:N15)
,Mantenimiento general,,,,,,,,,,,,,=SUM(C16:N16)
,Honorarios administrador,,,,,,,,,,,,,=SUM(C17:N17)
,Servicio de portero,,,,,,,,,,,,,=SUM(C18:N18)
,Fondo de reserva,,,,,,,,,,,,,=SUM(C19:N19)
,Otros,,,,,,,,,,,,,=SUM(C20:N20)
,TOTAL GASTOS,=SUM(C5:C20),=SUM(D5:D20),=SUM(E5:E20),=SUM(F5:F20),=SUM(G5:G20),=SUM(H5:H20),=SUM(I5:I20),=SUM(J5:J20),=SUM(K5:K20),=SUM(L5:L20),=SUM(M5:M20),=SUM(N5:N20),=SUM(O5:O20)
