,Ingresos por Unidad — Edificio Uruguay,,,,,,,,,,,,,
,Unidad,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total Anual
,Apto 1,,,,,,,,,,,,,=SUM(C5:N5)
,Apto 2,,,,,,,,,,,,,=SUM(C6:N6)
,Apto 3,,,,,,,,,,,,,=SUM(C7:N7)
,Apto 4,,,,,,,,,,,,,=SUM(C8:N8)
,Apto 5,,,,,,,,,,,,,=SUM(C9:N9)
,Apto 6,,,,,,,,,,,,,=SUM(C10:N10)
,Apto 7,,,,,,,,,,,,,=SUM(C11:N11)
,Apto 8,,,,,,,,,,,,,=SUM(C12:N12)
,Apto 9,,,,,,,,,,,,,=SUM(C13:N13)
,Apto 10,,,,,,,,,,,,,=SUM(C14:N14)
,Apto 11,,,,,,,,,,,,,=SUM(C15:N15)
,Apto 12,,,,,,,,,,,,,=SUM(C16:N16)
,Apto 13,,,,,,,,,,,,,=SUM(C17:N17)
,Apto 14,,,,,,,,,,,,,=SUM(C18:N18)
,Apto 15,,,,,,,,,,,,,=SUM(C19:N19)
,Apto 16,,,,,,,,,,,,,=SUM(C20:N20)
,Apto 17,,,,,,,,,,,,,=SUM(C21:N21)
,Apto 18,,,,,,,,,,,,,=SUM(C22:N22)
,Apto 19,,,,,,,,,,,,,=SUM(C23:N23)
,Apto 20,,,,,,,,,,,,,=SUM(C24:N24)
,Apto 21,,,,,,,,,,,,,=SUM(C25:N25)
,Apto 22,,,,,,,,,,,,,=SUM(C26:N26)
,Apto 23,,,,,,,,,,,,,=SUM(C27:N27)
,Apto 24,,,,,,,,,,,,,=SUM(C28:N28)
,Apto 25,,,,,,,,,,,,,=SUM(C29:N29)
,Apto 26,,,,,,,,,,,,,=SUM(C30:N30)
,Apto 27,,,,,,,,,,,,,=SUM(C31:N31)
,Local 1,,,,,,,,,,,,,=SUM(C32:N32)
,Local 2,,,,,,,,,,,,,=SUM(C33:N33)
,TOTAL INGRESOS,=SUM(C5:C33),=SUM(D5:D33),=SUM(E5:E33),=SUM(F5:F33),=SUM(G5:G33),=SUM(H5:H33),=SUM(I5:I33),=SUM(J5:J33),=SUM(K5:K33),=SUM(L5:L33),=SUM(M5:M33),=SUM(N5:N33),=SUM(O5:O33)
